year,fage,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 0,486456,493546,2545510,1272772,493546,199.998,X,X,2545512,2545510,X,199.997,199.997,X,X,X,X,X,2545479,199.995,X,X,X,X
1978,b) 1,355229,365696,2345414,2327670,4560,1.072,123700,29.088,807923,49332,758591,2.119,34.710,760375,510065,250310,21.913,32.667,47548,2.043,65.334,98343,99093,416237
1978,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,l) Left Censored,2716693,3465787,65250188,63958052,142299,3.987,348690,9.770,10897331,1998899,8898432,3.125,17.038,8305176,3054261,5250915,4.775,12.985,2592155,4.053,25.971,228005,232385,1403943
1979,a) 0,473343,477649,2420548,1210287,477649,199.998,X,X,2420549,2420548,X,199.998,199.998,X,X,X,X,X,2420524,199.996,X,X,X,X
1979,b) 1,362567,370480,2444153,2480102,1750,0.405,123947,28.719,790172,23445,766727,0.945,31.860,851865,521255,330610,21.017,34.348,-61693,-2.488,63.721,99356,99653,418195
1979,c) 2,307997,319246,2311975,2338020,14998,4.367,63341,18.444,591489,78230,513259,3.346,25.299,642489,315682,326807,13.502,27.480,-51000,-2.181,50.597,49764,50054,248364
1979,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1979,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1979,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1979,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1979,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1979,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1979,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1979,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1979,l) Left Censored,2547613,3317505,67427149,66439922,121760,3.585,279510,8.230,9891850,1834449,8057401,2.761,14.888,7906276,2416665,5489611,3.637,11.900,1985574,2.989,23.800,180914,184835,1121240
1980,a) 0,439667,443727,2230247,1115130,443727,199.998,X,X,2230247,2230247,X,199.999,199.999,X,X,X,X,X,2230233,199.998,X,X,X,X
1980,b) 1,345827,351243,2199605,2307772,1489,0.359,127410,30.760,639895,16177,623718,0.701,27.728,847810,496788,351022,21.527,36.737,-207915,-9.009,55.456,103632,103793,405447
1980,c) 2,305159,313854,2188671,2313216,14080,4.116,70567,20.628,492124,75216,416908,3.252,21.274,740670,341667,399003,14.770,32.019,-248546,-10.745,42.549,56390,56646,275245
1980,d) 3,269860,281971,2167767,2244055,12973,4.315,50388,16.758,456427,74071,382356,3.301,20.339,609449,248306,361143,11.065,27.158,-153022,-6.819,40.679,39193,39559,195410
1980,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1980,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1980,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1980,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1980,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1980,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1980,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1980,l) Left Censored,2378563,3159504,66198749,66803307,106469,3.287,265786,8.205,7969225,1663594,6305631,2.490,11.929,9172599,2404978,6767621,3.600,13.731,-1203374,-1.801,23.859,169915,174137,1062775
1981,a) 0,430121,432328,2391774,1195928,432328,199.998,X,X,2391768,2391768,X,199.993,199.993,X,X,X,X,X,2391680,199.985,X,X,X,X
1981,b) 1,321409,327082,2107475,2170725,2212,0.574,118249,30.706,644714,21808,622906,1.005,29.700,762713,458749,303964,21.133,35.136,-117999,-5.436,59.401,95721,95949,382494
1981,c) 2,289730,296374,2054031,2130584,14300,4.416,69222,21.376,497813,89900,407913,4.220,23.365,648983,325927,323056,15.298,30.460,-151170,-7.095,46.730,55689,55883,269162
1981,d) 3,264979,274760,2060478,2125203,13849,4.707,52758,17.932,453328,102326,351002,4.815,21.331,580843,254580,326263,11.979,27.331,-127515,-6.000,42.662,41178,41444,200288
