year,age_group,job_creation,job_destruction
1978,0-3,3353435,760375
1978,3-6,0,0
1978,6+,10897331,8305176
1979,0-3,3802210,1494354
1979,3-6,0,0
1979,6+,9891850,7906276
1980,0-3,3818693,2197929
1980,3-6,0,0
1980,6+,7969225,9172599
1981,0-3,3987623,1992539
1981,3-6,422450,514449
1981,6+,7737884,8873588
1982,0-3,3802596,2050084
1982,3-6,736673,1022402
1982,6+,7318834,9476941
1983,0-3,3984690,1898913
1983,3-6,684595,903254
1983,6+,7582833,10309305
1984,0-3,4770468,1752686
1984,3-6,788109,683172
1984,6+,9356673,7534320
1985,0-3,4988267,2155447
1985,3-6,784761,830350
1985,6+,9195254,9036614
1986,0-3,4986892,2435703
1986,3-6,763803,882819
1986,6+,9232525,9468552
1987,0-3,5578111,2711217
1987,3-6,884920,1016111
1987,6+,9863090,11251113
1988,0-3,5138965,2524349
1988,3-6,863256,1045021
1988,6+,10384014,10423522
1989,0-3,5196378,2426082
1989,3-6,925554,1022984
1989,6+,10155823,9911872
1990,0-3,5004969,2495549
1990,3-6,909610,1086665
1990,6+,9605883,9756218
1991,0-3,4291973,2700910
1991,3-6,825005,1299597
1991,6+,8883822,12233064
1992,0-3,4267642,2222353
1992,3-6,927196,1116788
1992,6+,9504737,11321579
1993,0-3,4329897,1923456
1993,3-6,872680,987206
1993,6+,9740257,10396744
1994,0-3,4436870,1993108
1994,3-6,848450,986940
1994,6+,10009343,10085548
1995,0-3,4650367,1926142
1995,3-6,812460,848223
1995,6+,10585510,9774152
1996,0-3,4644634,2079881
1996,3-6,763874,913702
1996,6+,10353012,10945404
1997,0-3,4884952,2209137
1997,3-6,872933,981821
1997,6+,12445032,12256879
1998,0-3,4771265,2053272
1998,3-6,959886,998774
1998,6+,12241167,11568488
1999,0-3,4439807,2093166
1999,3-6,978157,1095429
1999,6+,12267492,12508515
2000,0-3,4652195,1884035
2000,3-6,1034259,975433
2000,6+,12998597,12362404
2001,0-3,4341199,2037153
2001,3-6,966112,1157962
2001,6+,12473041,14333770
2002,0-3,4674176,2182544
2002,3-6,946229,1315026
2002,6+,12926849,17747599
2003,0-3,4299407,1866961
2003,3-6,880114,1031043
2003,6+,12525027,14128334
2004,0-3,4498378,1836458
2004,3-6,773607,885676
2004,6+,11981330,12997415
2005,0-3,4715776,2018139
2005,3-6,760691,883841
2005,6+,11540769,12886495
2006,0-3,4901660,1929133
2006,3-6,876243,853050
2006,6+,12939620,12258653
2007,0-3,4466926,2291308
2007,3-6,787944,1028001
2007,6+,13037211,14509399
2008,0-3,4143735,2152996
2008,3-6,726605,1022679
2008,6+,12106150,13942507
2009,0-3,3490727,2225516
2009,3-6,599246,1173112
2009,6+,9308083,16193161
2010,0-3,3495997,1686993
2010,3-6,628872,936603
2010,6+,9298325,13190676
2011,0-3,3417459,1515213
2011,3-6,655881,760372
2011,6+,10670909,10900554
2012,0-3,3643629,1370987
2012,3-6,714265,706713
2012,6+,11398267,11203660
2013,0-3,3526039,1393363
2013,3-6,632066,674551
2013,6+,11388575,11271786
2014,0-3,3685196,1400150
2014,3-6,670795,663423
2014,6+,11250439,10976574
2015,0-3,3769600,1406476
2015,3-6,694284,696455
2015,6+,11839501,11081281
2016,0-3,3785581,1435033
2016,3-6,720620,714443
2016,6+,11575917,11409787
2017,0-3,3869540,1491955
2017,3-6,725211,766084
2017,6+,12531830,12853929
2018,0-3,3906136,1475088
2018,3-6,679869,718219
2018,6+,11569796,11833107
