year,age_group,job_creation_births,job_creation_continuers,job_destruction,job_destruction_deaths,job_destruction_continuers
1978,0-3,2594842,758591,760375,510065,250310
1978,3-6,0,0,0,0,0
1978,6+,1998899,8898432,8305176,3054261,5250915
1979,0-3,2522223,1279986,1494354,836937,657417
1979,3-6,0,0,0,0,0
1979,6+,1834449,8057401,7906276,2416665,5489611
1980,0-3,2395711,1422982,2197929,1086761,1111168
1980,3-6,0,0,0,0,0
1980,6+,1663594,6305631,9172599,2404978,6767621
1981,0-3,2605802,1381821,1992539,1039256,953283
1981,3-6,74170,348280,514449,196049,318400
1981,6+,1897069,5840815,8873588,2251826,6621762
1982,0-3,2452061,1350532,2050084,1060341,989743
1982,3-6,129321,607352,1022402,401682,620720
1982,6+,1646267,5672567,9476941,2391975,7084966
1983,0-3,2728989,1255701,1898913,967769,931144
1983,3-6,127580,557015,903254,353615,549639
1983,6+,1624277,5958556,10309305,2787880,7521425
1984,0-3,3052738,1717730,1752686,988554,764132
1984,3-6,95799,692310,683172,304364,378808
1984,6+,2076519,7280154,7534320,2335380,5198940
1985,0-3,3122061,1866206,2155447,1239089,916358
1985,3-6,106775,677986,830350,377635,452715
1985,6+,1960885,7234369,9036614,3230507,5806107
1986,0-3,3210458,1776434,2435703,1284888,1150815
1986,3-6,124168,639635,882819,356619,526200
1986,6+,2208505,7024020,9468552,2727103,6741449
1987,0-3,3709421,1868690,2711217,1322217,1389000
1987,3-6,184337,700583,1016111,409995,606116
1987,6+,2601692,7261398,11251113,3531774,7719339
1988,0-3,3267993,1870972,2524349,1357192,1167157
1988,3-6,149535,713721,1045021,434337,610684
1988,6+,2824209,7559805,10423522,3305655,7117867
1989,0-3,3231529,1964849,2426082,1323849,1102233
1989,3-6,148805,776749,1022984,444646,578338
1989,6+,2557080,7598743,9911872,3217739,6694133
1990,0-3,3117771,1887197,2495549,1311054,1184495
1990,3-6,150731,758879,1086665,450953,635712
1990,6+,2303902,7301981,9756218,2802841,6953377
1991,0-3,2768705,1523268,2700910,1404419,1296491
1991,3-6,177199,647806,1299597,535712,763885
1991,6+,2673206,6210616,12233064,3556098,8676966
1992,0-3,2728837,1538805,2222353,1199279,1023074
1992,3-6,167685,759511,1116788,469327,647461
1992,6+,2231961,7272776,11321579,3450882,7870697
1993,0-3,2686628,1643267,1923456,994032,929424
1993,3-6,135869,736811,987206,406716,580490
1993,6+,2036565,7703692,10396744,3062657,7334087
1994,0-3,2857880,1578990,1993108,1045067,948041
1994,3-6,134782,713668,986940,409212,577728
1994,6+,2364466,7644877,10085548,3077690,7007858
1995,0-3,2966115,1684250,1926142,1022667,903475
1995,3-6,118818,693642,848223,354563,493660
1995,6+,2599173,7986337,9774152,2934937,6839215
1996,0-3,2981267,1663367,2079881,1065090,1014791
1996,3-6,128511,635363,913702,370907,542795
1996,6+,2662994,7690018,10945404,3212265,7733139
1997,0-3,3106246,1778706,2209137,1172820,1036317
1997,3-6,164164,708769,981821,424548,557273
1997,6+,3160633,9284399,12256879,4172124,8084755
1998,0-3,2933155,1838109,2053272,1013035,1040237
1998,3-6,170645,789241,998774,384130,614644
1998,6+,3016459,9224708,11568488,3554149,8014339
1999,0-3,2689190,1750617,2093166,1080365,1012801
1999,3-6,180688,797469,1095429,480933,614496
1999,6+,3229249,9038243,12508515,4072832,8435683
2000,0-3,2741795,1910400,1884035,973717,910318
2000,3-6,160573,873686,975433,416935,558498
2000,6+,3256411,9742186,12362404,3974846,8387558
2001,0-3,2648550,1692649,2037153,1040231,996922
2001,3-6,158970,807142,1157962,475600,682362
2001,6+,3513585,8959456,14333770,4806063,9527707
2002,0-3,3313024,1361151,2182544,1044902,1137642
2002,3-6,238454,707775,1315026,501757,813269
2002,6+,3911583,9015266,17747599,5600111,12147488
2003,0-3,2784582,1514825,1866961,953015,913946
2003,3-6,143022,737092,1031043,432852,598191
2003,6+,3100294,9424733,14128334,4457401,9670933
2004,0-3,2931493,1566884,1836458,944923,891535
2004,3-6,111408,662199,885676,379812,505864
2004,6+,2797086,9184244,12997415,4213929,8783486
2005,0-3,3127306,1588469,2018139,1004160,1013979
2005,3-6,121970,638721,883841,348111,535730
2005,6+,2881940,8658829,12886495,3831103,9055392
2006,0-3,3185553,1716106,1929133,980373,948760
2006,3-6,155509,720734,853050,349348,503702
2006,6+,3492269,9447351,12258653,3689527,8569126
2007,0-3,2914633,1552281,2291308,1119252,1172056
2007,3-6,145778,642166,1028001,404583,623418
2007,6+,3290816,9746395,14509399,4370583,10138816
2008,0-3,2686984,1456742,2152996,1080490,1072506
2008,3-6,111368,615237,1022679,434046,588633
2008,6+,2821184,9284966,13942507,4074676,9867831
2009,0-3,2331688,1159037,2225516,1074659,1150857
2009,3-6,95072,504174,1173112,455066,718046
2009,6+,2545969,6762114,16193161,4062089,12131072
2010,0-3,2411482,1084515,1686993,849771,837222
2010,3-6,118235,510637,936603,392147,544456
2010,6+,2238946,7059379,13190676,3487704,9702972
2011,0-3,2254771,1162688,1515213,757988,757225
2011,3-6,118720,537161,760372,334592,425780
2011,6+,2190825,8480084,10900554,3150541,7750013
2012,0-3,2407077,1236552,1370987,715123,655864
2012,3-6,118274,595991,706713,328218,378495
2012,6+,2180844,9217423,11203660,3352805,7850855
2013,0-3,2280378,1245659,1393363,719892,673471
2013,3-6,90453,541613,674551,302523,372028
2013,6+,2530479,8858096,11271786,3448672,7823114
2014,0-3,2413152,1272044,1400150,725775,674375
2014,3-6,101743,569052,663423,284429,378994
2014,6+,2563272,8687167,10976574,3282319,7694255
2015,0-3,2465783,1303817,1406476,744852,661624
2015,3-6,111751,582533,696455,307890,388565
2015,6+,2800487,9039014,11081281,3248188,7833093
2016,0-3,2495521,1290060,1435033,720955,714078
2016,3-6,140235,580385,714443,300348,414095
2016,6+,2654881,8921036,11409787,3270396,8139391
2017,0-3,2488896,1380644,1491955,778283,713672
2017,3-6,105499,619712,766084,351624,414460
2017,6+,2709765,9822065,12853929,4018040,8835889
2018,0-3,2535462,1370674,1475088,754858,720230
2018,3-6,90025,589844,718219,313906,404313
2018,6+,2205662,9364134,11833107,3460497,8372610
